iter	Passed	Remaining
0	157	156944
1	160	80198
2	164	54628
3	167	41786
4	172	34268
5	176	29246
6	180	25549
7	183	22777
8	187	20661
9	191	18929
10	194	17519
11	199	16391
12	203	15479
13	207	14619
14	211	13873
15	214	13219
16	218	12651
17	222	12125
18	226	11697
19	229	11251
20	232	10830
21	234	10433
22	236	10059
23	238	9711
24	240	9386
25	242	9082
26	244	8803
27	245	8531
28	247	8277
29	248	8037
30	250	7815
31	251	7605
32	252	7409
33	254	7218
34	255	7037
35	256	6867
36	257	6705
37	258	6553
38	260	6407
39	261	6268
40	262	6134
41	263	6007
42	264	5886
43	265	5773
44	267	5668
45	268	5562
46	269	5461
47	270	5365
48	271	5278
49	273	5191
50	274	5106
51	275	5023
52	276	4945
53	277	4868
54	279	4794
55	280	4734
56	282	4666
57	283	4599
58	284	4534
59	285	4475
60	286	4415
61	288	4358
62	289	4300
63	290	4245
64	291	4192
65	292	4139
66	293	4089
67	294	4040
68	295	3993
69	297	3946
70	298	3901
71	299	3857
72	300	3816
73	301	3775
74	302	3736
75	304	3696
76	305	3657
77	306	3619
78	307	3582
79	308	3547
80	309	3511
81	310	3478
82	311	3439
83	312	3406
84	313	3375
85	314	3346
86	316	3316
87	317	3287
88	318	3258
89	319	3230
90	320	3205
91	322	3178
92	323	3151
93	324	3124
94	325	3099
95	326	3074
96	327	3049
97	328	3025
98	330	3003
99	331	2981
100	332	2957
101	333	2935
102	335	2917
103	336	2901
104	338	2881
105	339	2866
106	341	2853
107	344	2846
108	346	2831
109	347	2815
110	349	2795
111	350	2776
112	351	2757
113	352	2738
114	353	2720
115	354	2702
116	355	2683
117	356	2666
118	357	2649
119	359	2633
120	360	2617
121	361	2600
122	362	2584
123	363	2568
124	364	2552
125	365	2537
126	366	2521
127	367	2506
128	369	2491
129	370	2476
130	371	2462
131	372	2448
132	373	2435
133	374	2421
134	375	2407
135	376	2394
136	378	2381
137	379	2368
138	380	2355
139	381	2343
140	382	2331
141	383	2316
142	384	2304
143	385	2292
144	386	2281
145	388	2270
146	389	2259
147	390	2248
148	391	2236
149	392	2225
150	393	2214
151	394	2203
152	396	2192
153	397	2182
154	398	2171
155	399	2161
156	400	2151
157	401	2142
158	403	2132
159	404	2122
160	405	2110
161	406	2101
162	407	2091
163	408	2082
164	409	2072
165	410	2063
166	411	2054
167	412	2045
168	414	2036
169	415	2027
170	416	2021
171	418	2012
172	419	2003
173	420	1995
174	421	1986
175	422	1978
176	423	1969
177	424	1961
178	425	1953
179	426	1945
180	428	1937
181	429	1930
182	430	1922
183	431	1914
184	432	1907
185	434	1899
186	435	1892
187	436	1884
188	437	1876
189	438	1869
190	439	1861
191	440	1854
192	441	1847
193	443	1840
194	444	1834
195	445	1827
196	446	1820
197	447	1813
198	448	1806
199	449	1799
200	450	1792
201	452	1785
202	453	1779
203	454	1773
204	455	1766
205	456	1761
206	458	1755
207	459	1749
208	460	1742
209	461	1736
210	462	1730
211	463	1724
212	464	1717
213	466	1711
214	467	1705
215	468	1700
216	469	1694
217	471	1690
218	473	1686
219	474	1683
220	476	1679
221	478	1676
222	480	1672
223	481	1669
224	483	1666
225	485	1661
226	487	1658
227	488	1654
228	490	1650
229	491	1645
230	493	1641
231	494	1637
232	496	1633
233	497	1629
234	499	1625
235	500	1621
236	502	1618
237	504	1614
238	505	1609
239	506	1605
240	508	1601
241	509	1597
242	511	1592
243	512	1587
244	513	1582
245	514	1577
246	515	1572
247	517	1568
248	518	1562
249	519	1557
250	520	1552
251	521	1547
252	522	1542
253	523	1537
254	524	1533
255	526	1528
256	527	1524
257	528	1520
258	530	1517
259	531	1513
260	533	1509
261	534	1504
262	535	1500
263	536	1495
264	537	1491
265	538	1486
266	539	1482
267	541	1477
268	542	1473
269	543	1468
270	544	1464
271	545	1460
272	546	1456
273	547	1451
274	549	1447
275	550	1443
276	551	1439
277	552	1435
278	553	1431
279	555	1427
280	556	1423
281	557	1419
282	558	1415
283	559	1410
284	560	1406
285	561	1402
286	563	1398
287	564	1394
288	565	1391
289	566	1387
290	567	1383
291	568	1379
292	569	1375
293	571	1371
294	572	1367
295	573	1364
296	574	1360
297	575	1356
298	577	1352
299	578	1349
300	579	1345
301	580	1342
302	582	1338
303	583	1335
304	584	1332
305	586	1329
306	587	1325
307	588	1322
308	589	1319
309	591	1315
310	592	1312
311	593	1308
312	594	1304
313	595	1301
314	596	1297
315	597	1294
316	599	1290
317	600	1287
318	601	1284
319	602	1280
320	603	1277
321	604	1273
322	606	1270
323	607	1267
324	608	1263
325	609	1260
326	610	1256
327	611	1253
328	612	1250
329	614	1246
330	615	1243
331	616	1240
332	617	1237
333	618	1233
334	620	1230
335	621	1227
336	622	1224
337	623	1220
338	624	1217
339	625	1214
340	626	1211
341	627	1208
342	628	1204
343	630	1201
344	631	1198
345	632	1195
346	633	1192
347	635	1190
348	636	1187
349	638	1186
350	639	1183
351	641	1180
352	642	1177
353	643	1173
354	644	1170
355	645	1167
356	646	1164
357	647	1161
358	648	1158
359	650	1155
360	651	1152
361	652	1149
362	653	1146
363	654	1143
364	655	1140
365	656	1137
366	658	1134
367	659	1132
368	660	1129
369	661	1126
370	662	1123
371	663	1120
372	665	1117
373	666	1115
374	667	1112
375	668	1109
376	669	1106
377	670	1103
378	671	1100
379	673	1098
380	674	1095
381	675	1092
382	676	1090
383	677	1087
384	678	1084
385	680	1081
386	681	1078
387	682	1076
388	683	1073
389	684	1070
390	685	1067
391	686	1065
392	688	1063
393	689	1060
394	690	1057
395	691	1055
396	692	1052
397	694	1049
398	695	1047
399	696	1044
400	697	1041
401	698	1039
402	699	1036
403	701	1034
404	702	1032
405	703	1029
406	704	1026
407	705	1024
408	706	1021
409	708	1018
410	709	1016
411	710	1013
412	711	1011
413	712	1008
414	713	1006
415	715	1003
416	716	1001
417	717	999
418	718	996
419	719	993
420	720	991
421	721	988
422	723	986
423	724	983
424	725	981
425	726	978
426	727	976
427	729	974
428	730	972
429	731	969
430	732	967
431	733	964
432	734	962
433	736	959
434	737	957
435	738	955
436	739	952
437	740	950
438	741	947
439	742	945
440	744	943
441	745	941
442	746	938
443	747	936
444	749	934
445	750	931
446	751	929
447	752	927
448	753	924
449	754	922
450	755	920
451	757	918
452	760	917
453	761	916
454	763	914
455	764	912
456	766	910
457	767	908
458	768	906
459	769	903
460	771	901
461	772	899
462	773	897
463	774	894
464	775	892
465	776	890
466	778	888
467	779	885
468	780	883
469	781	881
470	782	879
471	783	876
472	785	874
473	786	872
474	787	870
475	788	867
476	789	865
477	790	863
478	791	861
479	792	858
480	793	856
481	795	854
482	796	852
483	797	850
484	798	847
485	799	845
486	800	843
487	802	841
488	803	839
489	804	837
490	805	835
491	806	832
492	807	830
493	809	828
494	810	826
495	811	824
496	812	822
497	813	820
498	814	818
499	815	815
500	817	813
501	818	811
502	819	809
503	820	807
504	821	805
505	823	803
506	824	801
507	825	799
508	826	797
509	827	795
510	828	793
511	829	791
512	831	789
513	832	787
514	833	784
515	834	782
516	835	780
517	837	778
518	838	776
519	839	774
520	840	772
521	841	770
522	842	768
523	843	766
524	845	764
525	846	762
526	847	760
527	848	758
528	849	756
529	850	754
530	852	752
531	853	750
532	854	748
533	855	746
534	856	744
535	857	742
536	858	740
537	859	738
538	860	736
539	862	734
540	863	732
541	864	730
542	865	728
543	866	726
544	867	724
545	868	722
546	870	720
547	871	718
548	872	716
549	873	714
550	874	712
551	875	710
552	877	709
553	878	707
554	879	705
555	880	703
556	881	701
557	882	699
558	883	697
559	884	695
560	886	693
561	887	691
562	888	689
563	889	687
564	891	686
565	892	684
566	893	682
567	894	680
568	896	678
569	897	676
570	899	676
571	901	674
572	902	672
573	904	670
574	905	669
575	906	667
576	907	665
577	908	663
578	909	661
579	910	659
580	912	657
581	913	655
582	914	653
583	915	652
584	916	650
585	917	648
586	919	646
587	920	644
588	921	642
589	922	640
590	923	639
591	924	637
592	925	635
593	926	633
594	927	631
595	929	629
596	930	628
597	931	626
598	932	624
599	933	622
600	934	620
601	936	618
602	937	616
603	938	615
604	939	613
605	940	611
606	941	609
607	942	607
608	944	606
609	945	604
610	946	602
611	947	600
612	948	598
613	949	597
614	950	595
615	952	593
616	953	591
617	954	589
618	955	588
619	956	586
620	957	584
621	958	582
622	960	581
623	961	579
624	963	577
625	964	576
626	965	574
627	967	572
628	968	571
629	969	569
630	971	567
631	972	566
632	974	564
633	975	563
634	977	561
635	978	559
636	979	558
637	980	556
638	982	554
639	983	553
640	984	551
641	986	549
642	987	548
643	989	546
644	990	545
645	991	543
646	993	541
647	994	540
648	995	538
649	996	536
650	998	535
651	999	533
652	1001	532
653	1003	530
654	1004	529
655	1006	527
656	1007	525
657	1008	524
658	1010	522
659	1011	521
660	1012	519
661	1014	517
662	1016	516
663	1019	516
664	1021	514
665	1022	513
666	1024	511
667	1025	509
668	1026	508
669	1028	506
670	1029	505
671	1031	503
672	1033	502
673	1035	500
674	1036	499
675	1038	497
676	1039	496
677	1042	495
678	1044	493
679	1045	492
680	1047	490
681	1048	489
682	1050	487
683	1052	486
684	1053	484
685	1055	483
686	1056	481
687	1058	479
688	1059	478
689	1060	476
690	1061	474
691	1063	473
692	1064	471
693	1065	469
694	1066	468
695	1067	466
696	1068	464
697	1070	462
698	1071	461
699	1072	459
700	1073	457
701	1074	456
702	1075	454
703	1076	452
704	1078	451
705	1079	449
706	1080	447
707	1081	445
708	1082	444
709	1083	442
710	1084	440
711	1086	439
712	1087	437
713	1088	435
714	1089	434
715	1090	432
716	1091	430
717	1093	429
718	1094	427
719	1095	425
720	1096	424
721	1097	422
722	1098	420
723	1099	419
724	1101	417
725	1102	415
726	1103	414
727	1104	412
728	1105	411
729	1106	409
730	1107	407
731	1109	406
732	1110	404
733	1111	402
734	1112	401
735	1113	399
736	1114	397
737	1116	396
738	1117	394
739	1118	393
740	1119	391
741	1120	389
742	1122	388
743	1123	386
744	1124	384
745	1125	383
746	1126	381
747	1127	380
748	1129	378
749	1130	376
750	1131	375
751	1133	373
752	1134	372
753	1135	370
754	1137	369
755	1138	367
756	1139	365
757	1142	364
758	1143	363
759	1145	361
760	1146	360
761	1147	358
762	1148	356
763	1149	355
764	1151	353
765	1152	351
766	1153	350
767	1154	348
768	1155	347
769	1156	345
770	1157	343
771	1158	342
772	1159	340
773	1161	339
774	1162	337
775	1163	335
776	1164	334
777	1165	332
778	1166	331
779	1167	329
780	1168	327
781	1170	326
782	1171	324
783	1172	323
784	1173	321
785	1174	319
786	1175	318
787	1177	316
788	1178	315
789	1179	313
790	1180	312
791	1181	310
792	1183	308
793	1184	307
794	1185	305
795	1186	304
796	1187	302
797	1188	300
798	1190	299
799	1191	297
800	1193	296
801	1194	294
802	1195	293
803	1196	291
804	1197	290
805	1198	288
806	1199	286
807	1200	285
808	1201	283
809	1203	282
810	1204	280
811	1205	279
812	1207	277
813	1208	276
814	1209	274
815	1210	272
816	1211	271
817	1212	269
818	1213	268
819	1214	266
820	1215	265
821	1217	263
822	1218	262
823	1220	260
824	1221	259
825	1222	257
826	1223	255
827	1224	254
828	1225	252
829	1227	251
830	1228	249
831	1229	248
832	1230	246
833	1231	245
834	1233	243
835	1234	242
836	1235	240
837	1236	239
838	1237	237
839	1238	235
840	1240	234
841	1241	232
842	1242	231
843	1243	229
844	1244	228
845	1245	226
846	1247	225
847	1248	223
848	1249	222
849	1250	220
850	1251	219
851	1252	217
852	1253	216
853	1255	214
854	1256	213
855	1257	211
856	1259	210
857	1260	208
858	1262	207
859	1264	205
860	1265	204
861	1266	202
862	1267	201
863	1269	199
864	1270	198
865	1271	196
866	1272	195
867	1273	193
868	1275	192
869	1276	190
870	1277	189
871	1278	187
872	1279	186
873	1281	184
874	1282	183
875	1283	181
876	1284	180
877	1285	178
878	1287	177
879	1288	175
880	1290	174
881	1292	172
882	1293	171
883	1294	169
884	1296	168
885	1297	166
886	1299	165
887	1301	164
888	1302	162
889	1304	161
890	1306	159
891	1308	158
892	1309	156
893	1311	155
894	1312	153
895	1314	152
896	1315	151
897	1316	149
898	1318	148
899	1320	146
900	1321	145
901	1323	143
902	1324	142
903	1326	140
904	1327	139
905	1329	137
906	1330	136
907	1332	134
908	1334	133
909	1336	132
910	1339	130
911	1340	129
912	1342	127
913	1344	126
914	1345	125
915	1347	123
916	1349	122
917	1350	120
918	1352	119
919	1353	117
920	1354	116
921	1356	114
922	1357	113
923	1358	111
924	1359	110
925	1360	108
926	1362	107
927	1363	105
928	1365	104
929	1366	102
930	1368	101
931	1369	99
932	1371	98
933	1374	97
934	1378	95
935	1380	94
936	1385	93
937	1391	91
938	1394	90
939	1397	89
940	1400	87
941	1401	86
942	1403	84
943	1406	83
944	1409	82
945	1412	80
946	1414	79
947	1416	77
948	1417	76
949	1419	74
950	1421	73
951	1423	71
952	1425	70
953	1427	68
954	1429	67
955	1433	65
956	1435	64
957	1438	63
958	1440	61
959	1443	60
960	1445	58
961	1447	57
962	1448	55
963	1450	54
964	1452	52
965	1453	51
966	1454	49
967	1456	48
968	1457	46
969	1458	45
970	1460	43
971	1461	42
972	1463	40
973	1464	39
974	1465	37
975	1467	36
976	1469	34
977	1470	33
978	1472	31
979	1473	30
980	1475	28
981	1476	27
982	1478	25
983	1480	24
984	1482	22
985	1484	21
986	1486	19
987	1487	18
988	1489	16
989	1491	15
990	1492	13
991	1494	12
992	1495	10
993	1497	9
994	1498	7
995	1500	6
996	1501	4
997	1503	3
998	1504	1
999	1505	0
