iter	Passed	Remaining
0	2	2541
1	4	2205
2	5	1973
3	7	1880
4	9	1835
5	13	2246
6	15	2187
7	17	2136
8	18	2083
9	20	2030
10	21	1969
11	23	1920
12	24	1870
13	28	2020
14	30	2027
15	32	1988
16	34	1977
17	35	1949
18	37	1922
19	38	1904
20	40	1878
21	43	1931
22	45	1913
23	46	1890
24	47	1868
25	49	1849
26	50	1824
27	52	1823
28	53	1806
29	58	1876
30	59	1869
31	61	1856
32	62	1843
33	64	1831
34	66	1825
35	67	1818
36	73	1918
37	76	1927
38	78	1928
39	80	1941
40	83	1944
41	88	2015
42	90	2013
43	92	2009
44	95	2025
45	97	2012
46	98	1994
47	100	1994
48	103	2006
49	104	1993
50	106	1980
51	108	1973
52	110	1966
53	111	1955
54	113	1945
55	119	2008
56	120	2000
57	124	2026
58	126	2023
59	128	2015
60	133	2050
61	134	2041
62	136	2037
63	140	2049
64	141	2040
65	143	2031
66	148	2065
67	150	2059
68	151	2049
69	153	2038
70	155	2029
71	156	2018
72	158	2006
73	161	2021
74	163	2022
75	165	2013
76	167	2003
77	168	1992
78	170	1982
79	171	1972
80	173	1968
81	179	2007
82	180	1993
83	182	1986
84	183	1979
85	185	1970
86	186	1959
87	191	1985
88	193	1979
89	194	1971
90	196	1961
91	197	1952
92	199	1943
93	200	1934
94	202	1925
95	205	1938
96	207	1936
97	209	1927
98	210	1918
99	212	1910
100	213	1901
101	214	1892
102	216	1885
103	225	1944
104	228	1944
105	230	1946
106	232	1944
107	237	1960
108	239	1955
109	240	1948
110	242	1940
111	243	1934
112	245	1927
113	247	1919
114	251	1932
115	253	1930
116	254	1920
117	255	1912
118	257	1904
119	258	1896
120	260	1889
121	261	1881
122	262	1873
123	267	1887
124	268	1882
125	270	1876
126	271	1868
127	273	1864
128	275	1857
129	276	1849
130	277	1841
131	281	1851
132	283	1845
133	284	1839
134	286	1832
135	287	1827
136	288	1820
137	290	1813
138	291	1805
139	294	1807
140	296	1803
141	297	1796
142	298	1789
143	300	1784
144	301	1777
145	302	1770
146	304	1764
147	305	1758
148	307	1756
149	310	1761
150	312	1757
151	314	1757
152	316	1753
153	318	1748
154	319	1742
155	322	1744
156	324	1744
157	327	1743
158	328	1739
159	330	1734
160	331	1725
161	332	1720
162	333	1713
163	335	1708
164	339	1717
165	341	1716
166	342	1710
167	344	1705
168	345	1700
169	347	1695
170	348	1690
171	350	1684
172	354	1693
173	357	1697
174	359	1694
175	362	1698
176	373	1736
177	377	1743
178	380	1743
179	387	1763
180	389	1760
181	391	1759
182	394	1759
183	399	1770
184	402	1771
185	404	1770
186	406	1766
187	408	1762
188	409	1758
189	416	1775
190	418	1774
191	421	1772
192	423	1769
193	425	1765
194	430	1778
195	432	1775
196	434	1771
197	436	1767
198	438	1763
199	439	1759
200	444	1768
201	446	1765
202	448	1761
203	451	1759
204	452	1756
205	454	1753
206	461	1768
207	465	1772
208	468	1771
209	471	1773
210	475	1777
211	479	1783
212	488	1805
213	491	1805
214	505	1844
215	509	1847
216	514	1855
217	521	1871
218	537	1917
219	550	1953
220	555	1956
221	568	1990
222	580	2022
223	597	2069
224	715	2464
225	828	2837
226	844	2876
227	855	2896
228	860	2895
229	863	2889
230	871	2900
231	874	2894
232	878	2890
233	921	3016
234	938	3055
235	943	3055
236	952	3065
237	957	3064
238	966	3078
239	978	3099
240	1004	3164
241	1011	3166
242	1020	3178
243	1027	3182
244	1048	3230
245	1063	3259
246	1068	3256
247	1127	3419
248	1134	3422
249	1144	3434
250	1149	3429
251	1232	3658
252	1246	3681
253	1250	3671
254	1262	3687
255	1380	4011
256	1397	4040
257	1422	4092
258	1435	4106
259	1457	4147
260	1473	4173
261	1490	4197
262	1501	4206
263	1505	4196
264	1513	4198
265	1516	4185
266	1521	4176
267	1527	4172
268	1530	4159
269	1552	4197
270	1565	4210
271	1568	4199
272	1576	4197
273	1579	4185
274	1590	4193
275	1593	4180
276	1597	4169
277	1606	4173
278	1637	4230
279	1644	4229
280	1658	4244
281	1662	4231
282	1670	4231
283	1672	4215
284	1674	4201
285	1677	4188
286	1687	4192
287	1691	4182
288	1694	4169
289	1713	4196
290	1719	4188
291	1721	4174
292	1752	4229
293	1755	4215
294	1762	4211
295	1765	4198
296	1767	4184
297	1780	4193
298	1783	4181
299	1785	4166
300	1787	4151
301	1794	4147
302	1798	4136
303	1825	4179
304	1829	4167
305	1831	4154
306	1835	4142
307	1838	4129
308	1841	4118
309	1845	4108
310	1848	4094
311	1851	4083
312	1855	4072
313	1861	4067
314	1865	4057
315	1869	4045
316	1871	4033
317	1878	4029
318	1882	4018
319	1885	4006
320	1887	3993
321	1893	3986
322	1901	3985
323	1904	3973
324	1907	3962
325	1910	3950
326	1913	3937
327	1916	3926
328	1919	3914
329	1922	3903
330	1926	3894
331	1934	3893
332	1965	3937
333	1974	3936
334	1998	3967
335	2002	3956
336	2013	3961
337	2028	3973
338	2032	3963
339	2037	3954
340	2045	3952
341	2062	3968
342	2066	3958
343	2069	3947
344	2072	3935
345	2077	3926
346	2085	3925
347	2089	3915
348	2093	3904
349	2104	3908
350	2107	3896
351	2151	3960
352	2191	4016
353	2198	4011
354	2200	3998
355	2204	3988
356	2214	3989
357	2217	3975
358	2263	4041
359	2266	4028
360	2269	4016
361	2281	4021
362	2284	4009
363	2288	3998
364	2290	3985
365	2293	3972
366	2298	3965
367	2305	3959
368	2308	3946
369	2310	3934
370	2313	3921
371	2315	3908
372	2323	3905
373	2326	3894
374	2329	3881
375	2331	3868
376	2337	3863
377	2344	3858
378	2348	3848
379	2359	3849
380	2367	3845
381	2393	3871
382	2401	3868
383	2405	3858
384	2417	3862
385	2420	3850
386	2427	3844
387	2431	3834
388	2433	3822
389	2436	3811
390	2450	3817
391	2456	3810
392	2460	3799
393	2463	3789
394	2466	3777
395	2469	3766
396	2473	3756
397	2476	3745
398	2479	3735
399	2482	3723
400	2487	3715
401	2492	3708
402	2495	3697
403	2501	3690
404	2504	3679
405	2507	3668
406	2509	3657
407	2512	3645
408	2520	3641
409	2522	3630
410	2525	3619
411	2528	3608
412	2536	3605
413	2539	3594
414	2542	3584
415	2548	3577
416	2550	3566
417	2553	3554
418	2555	3543
419	2563	3540
420	2566	3530
421	2568	3518
422	2571	3507
423	2580	3505
424	2592	3506
425	2604	3508
426	2606	3498
427	2612	3491
428	2615	3480
429	2617	3469
430	2619	3458
431	2630	3459
432	2636	3451
433	2638	3441
434	2653	3446
435	2660	3441
436	2665	3433
437	2670	3426
438	2680	3424
439	2701	3437
440	2711	3437
441	2723	3438
442	2739	3445
443	2744	3437
444	2753	3433
445	2759	3428
446	2764	3420
447	2770	3414
448	2774	3405
449	2777	3394
450	2780	3384
451	2785	3377
452	2793	3373
453	2800	3368
454	2807	3362
455	2815	3359
456	2819	3349
457	2821	3338
458	2825	3330
459	2832	3324
460	2837	3317
461	2841	3309
462	2851	3307
463	2857	3300
464	2863	3294
465	2879	3299
466	2881	3289
467	2887	3282
468	2894	3277
469	2896	3266
470	2903	3261
471	2910	3255
472	2913	3246
473	2916	3236
474	2918	3226
475	2923	3218
476	2926	3208
477	2928	3197
478	2930	3187
479	2933	3178
480	2944	3177
481	2946	3166
482	2948	3156
483	2958	3154
484	2981	3165
485	2989	3161
486	2992	3151
487	2995	3142
488	2998	3133
489	3010	3133
490	3022	3133
491	3032	3131
492	3036	3122
493	3047	3121
494	3053	3115
495	3056	3105
496	3062	3099
497	3065	3090
498	3070	3082
499	3073	3073
500	3078	3066
501	3083	3058
502	3094	3057
503	3098	3049
504	3108	3046
505	3128	3053
506	3131	3044
507	3143	3044
508	3151	3040
509	3157	3033
510	3160	3024
511	3163	3014
512	3173	3012
513	3176	3003
514	3183	2997
515	3186	2988
516	3190	2980
517	3201	2978
518	3204	2970
519	3215	2967
520	3218	2959
521	3230	2958
522	3233	2949
523	3240	2944
524	3243	2934
525	3254	2932
526	3257	2923
527	3261	2915
528	3270	2911
529	3274	2903
530	3293	2908
531	3295	2899
532	3303	2894
533	3307	2886
534	3311	2877
535	3317	2871
536	3322	2864
537	3324	2854
538	3332	2850
539	3336	2841
540	3339	2833
541	3349	2830
542	3358	2826
543	3362	2818
544	3366	2810
545	3375	2806
546	3379	2798
547	3382	2789
548	3385	2781
549	3390	2774
550	3393	2765
551	3407	2765
552	3416	2761
553	3423	2756
554	3426	2747
555	3429	2738
556	3432	2729
557	3438	2723
558	3441	2714
559	3445	2707
560	3454	2703
561	3458	2695
562	3461	2686
563	3471	2683
564	3475	2675
565	3478	2667
566	3486	2662
567	3489	2654
568	3492	2645
569	3499	2640
570	3503	2632
571	3506	2623
572	3508	2614
573	3520	2612
574	3523	2604
575	3526	2595
576	3535	2591
577	3543	2587
578	3547	2579
579	3551	2571
580	3559	2566
581	3564	2560
582	3567	2551
583	3573	2545
584	3591	2547
585	3599	2542
586	3610	2540
587	3613	2532
588	3616	2523
589	3618	2514
590	3629	2511
591	3633	2504
592	3640	2498
593	3643	2490
594	3645	2481
595	3649	2473
596	3657	2468
597	3659	2460
598	3662	2451
599	3665	2443
600	3676	2440
601	3686	2437
602	3689	2429
603	3691	2420
604	3712	2423
605	3721	2419
606	3725	2412
607	3728	2403
608	3735	2398
609	3738	2390
610	3741	2381
611	3743	2373
612	3750	2368
613	3754	2360
614	3757	2352
615	3759	2343
616	3763	2336
617	3767	2328
618	3769	2320
619	3772	2312
620	3779	2306
621	3782	2298
622	3785	2290
623	3794	2286
624	3796	2278
625	3799	2269
626	3801	2261
627	3803	2253
628	3808	2246
629	3810	2238
630	3813	2229
631	3815	2221
632	3817	2213
633	3822	2206
634	3827	2200
635	3830	2192
636	3832	2184
637	3834	2175
638	3839	2169
639	3842	2161
640	3844	2153
641	3848	2145
642	3850	2137
643	3854	2131
644	3859	2124
645	3868	2119
646	3870	2111
647	3873	2103
648	3874	2095
649	3877	2087
650	3882	2081
651	3884	2073
652	3886	2065
653	3888	2057
654	3891	2049
655	3893	2041
656	3897	2034
657	3900	2027
658	3902	2019
659	3903	2011
660	3905	2003
661	3908	1995
662	3912	1988
663	3915	1981
664	3918	1973
665	3920	1966
666	3922	1958
667	3924	1950
668	3929	1944
669	3931	1936
670	3933	1928
671	3935	1920
672	3937	1913
673	3942	1907
674	3945	1899
675	3948	1892
676	3950	1884
677	3953	1877
678	3958	1871
679	3961	1864
680	3964	1856
681	3966	1849
682	3968	1841
683	3974	1835
684	3976	1828
685	3979	1821
686	3981	1813
687	3983	1806
688	3985	1798
689	3989	1792
690	3991	1784
691	3993	1777
692	3995	1769
693	3997	1762
694	4003	1756
695	4007	1750
696	4011	1743
697	4017	1738
